Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories;Unnamed: 19
427;50054;Journal of Water Resources Planning and Management - ASCE;journal;7339496;1.296;Q1;87;162;328;6569;1105;305;3.55;40.55;United States;American Society of Civil Engineers;1980-ongoing;"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Water Science and Technology (Q1)";
428;25967;Social and Cultural Geography;journal;14701197, 14649365;1.295;Q1;65;62;146;3960;318;133;1.93;63.87;United Kingdom;Taylor & Francis;2000-ongoing;"Cultural Studies (Q1); Geography, Planning and Development (Q1)";
429;100147024;Qualitative Research;journal;14687941;1.294;Q1;63;43;131;1865;393;124;2.36;43.37;United States;SAGE Publications;2001-ongoing;"History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1)";
430;20738;Review of Higher Education;journal;01625748, 10907009;1.291;Q1;56;19;54;1128;93;53;1.75;59.37;United States;The Johns Hopkins University Press;1996-ongoing;Education (Q1);
431;26587;Studies in Comparative International Development;journal;393606;1.291;Q1;48;24;66;1780;107;63;1.43;74.17;United States;Springer New York LLC;1965-1970, 1972-ongoing;"Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
432;19900191754;Conflict and Health;journal;17521505;1.29;Q1;21;29;91;909;194;91;2.09;31.34;United Kingdom;BioMed Central;2010-ongoing;"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)";
433;26459;Latin American Politics and Society;journal;15482456, 1531426X;1.29;Q1;37;30;94;1523;123;93;1.29;50.77;United States;Wiley-Blackwell;2001-ongoing;"Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
434;22704;Ambio;journal;447447;1.287;Q1;108;116;336;6423;1177;322;3.98;55.37;Netherlands;Springer Netherlands;1973-ongoing;"Ecology (Q1); Environmental Chemistry (Q1); Geography, Planning and Development (Q1); Medicine (miscellaneous) (Q1)";
435;26364;Journal of Strategic Studies;journal;1402390;1.287;Q1;28;56;133;2253;204;116;1.63;40.23;United Kingdom;Frank Cass Publishers;1978-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
436;24274;Social Politics;journal;10724745, 14682893;1.283;Q1;48;20;81;1139;178;80;1.4;56.95;United Kingdom;Oxford University Press;1994-ongoing;"Gender Studies (Q1); Social Sciences (miscellaneous) (Q1)";
437;19700170417;Journal of Information Technology and Politics;journal;19331681, 1933169X;1.276;Q1;35;23;77;1465;210;76;2.4;63.7;United States;Routledge;2008-ongoing;"Computer Science (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";
438;14586;Social Service Review;journal;15375404, 00377961;1.275;Q1;53;22;71;1296;120;65;1.6;58.91;United States;University of Chicago Press;1973-1983, 1987, 1996-ongoing;"Social Work (Q1); Sociology and Political Science (Q1)";
439;25989;Discourse Processes;journal;0163853X, 15326950;1.274;Q1;50;34;83;1299;161;81;2.27;38.21;United Kingdom;Taylor & Francis;1978-2001, 2005-ongoing;"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
440;15673;Journal of Rural Studies;journal;7430167;1.273;Q1;88;171;273;11357;969;266;2.82;66.42;United Kingdom;Elsevier Ltd.;1985-ongoing;"Development (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";
441;130178;Cognitive Linguistics;journal;9365907;1.272;Q1;45;24;62;1260;102;62;1.76;52.5;Germany;De Gruyter Mouton;2004-ongoing;"Developmental and Educational Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
442;6100152802;Nanomedicine;journal;17486963, 17435889;1.27;Q1;93;245;681;13636;2990;613;4.44;55.66;United Kingdom;Future Medicine Ltd.;2006-ongoing;"Bioengineering (Q1); Biomedical Engineering (Q1); Development (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)";
443;30088;Journal of Social Issues;journal;00224537, 15404560;1.269;Q1;111;45;144;2340;435;141;1.88;52;United Kingdom;Blackwell Publishing Inc.;1945-ongoing;Social Sciences (miscellaneous) (Q1);
444;20000195092;Tel Aviv;journal;3344355;1.267;Q1;12;13;38;771;52;38;0.84;59.31;United Kingdom;Maney Publishing;1974-1995, 2011-ongoing;"Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1)";
445;21058;UCLA Law Review;journal;415650;1.266;Q1;39;27;96;4111;133;96;1.33;152.26;United States;University of California at Los Angeles;1968, 1976, 1978, 1980-1983, 1986, 1989, 1991-ongoing;Law (Q1);
446;5700164380;Comunicar;journal;11343478;1.265;Q1;26;40;128;1566;365;121;3.1;39.15;Spain;Grupo Comunicar, Colectivo Andaluz de Educacion en Medios de Comunicacion;2008-ongoing;"Communication (Q1); Cultural Studies (Q1); Education (Q1)";
447;22281;Reading and Writing;journal;09224777, 15730905;1.265;Q1;64;86;213;4451;451;204;1.84;51.76;Netherlands;Kluwer Academic Publishers;1989-ongoing;"Education (Q1); Linguistics and Language (Q1); Speech and Hearing (Q1); Neuropsychology and Physiological Psychology (Q2)";
448;18697;Theory and Society;journal;15737853, 03042421;1.264;Q1;67;20;74;1765;185;74;2.14;88.25;Netherlands;Kluwer Academic Publishers;1974-ongoing;"History (Q1); Sociology and Political Science (Q1)";
449;100147030;Current Sociology;journal;113921;1.262;Q1;55;61;189;3756;471;180;2.19;61.57;United States;SAGE Publications;1952-1965, 1967-1969, 1972-1984, 1986-ongoing;Sociology and Political Science (Q1);
450;28694;Geographical Journal;journal;167398;1.262;Q1;56;43;130;2243;327;104;3.26;52.16;United Kingdom;Blackwell Publishing Inc.;1973, 1975-1976, 1978-1994, 1996-ongoing;"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)";
451;26890;Health reports / Statistics Canada, Canadian Centre for Health Information = Rapports sur la sante / Statistique Canada, Centre canadien d'information sur la sante;journal;12091367, 08406529;1.261;Q1;53;30;72;1096;170;72;2.48;36.53;Canada;Statistics Canada;1989-ongoing;"Demography (Q1); Public Health, Environmental and Occupational Health (Q1)";
452;5800222015;Bilingual Research Journal;journal;15235882, 15235890;1.259;Q1;32;36;60;1093;83;52;1.26;30.36;United States;Routledge;1992-2006, 2009-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
453;91941;World Archaeology;journal;14701375, 00438243;1.257;Q1;60;53;148;3244;276;138;2.06;61.21;United Kingdom;Routledge;1969-ongoing;"Archeology (Q1); Archeology (arts and humanities) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1)";
454;14798;Sex Roles;journal;03600025, 15732762;1.256;Q1;101;93;297;5883;783;290;1.93;63.26;United States;Kluwer Academic/Plenum Publishers;1975-ongoing;"Developmental and Educational Psychology (Q1); Gender Studies (Q1); Social Psychology (Q1)";
455;23439;Politics and Society;journal;323292;1.254;Q1;62;24;72;2103;179;69;2.11;87.63;United States;SAGE Publications;1970-1990, 1992-ongoing;"Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";
456;26382;Drug and Alcohol Review;journal;9595236;1.252;Q1;66;104;290;3601;707;240;2.66;34.63;United States;Wiley-Blackwell;1982-ongoing;"Health (social science) (Q1); Medicine (miscellaneous) (Q1)";
457;27471;Applied Geography;journal;1436228;1.25;Q1;77;147;617;8288;2041;609;3.12;56.38;Netherlands;Elsevier BV;1980-ongoing;"Environmental Science (miscellaneous) (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)";
458;5700152760;Assessment & Evaluation in Higher Education;journal;02602938, 1469297X;1.249;Q1;72;82;212;3164;429;207;1.72;38.59;United Kingdom;Routledge;1981-ongoing;Education (Q1);
459;25961;Educational Studies in Mathematics;journal;15730816, 00131954;1.249;Q1;54;69;204;2576;304;194;1.39;37.33;Netherlands;Kluwer Academic Publishers;1968-ongoing;"Education (Q1); Mathematics (miscellaneous) (Q1)";
460;5700156763;Teachers and Teaching: Theory and Practice;journal;13540602, 14701278;1.249;Q1;44;65;166;2827;274;150;1.74;43.49;United Kingdom;Carfax Publishing Ltd.;1995-ongoing;"Arts and Humanities (miscellaneous) (Q1); Education (Q1)";
461;15453;Journal of Cross-Cultural Psychology;journal;220221;1.247;Q1;99;88;275;4355;709;266;2.05;49.49;United States;SAGE Publications;1970-ongoing;"Anthropology (Q1); Cultural Studies (Q1); Social Psychology (Q1)";
462;5700165209;Community College Review;journal;915521;1.245;Q1;25;14;55;665;66;53;1.11;47.5;United States;SAGE Publications;1973-ongoing;Education (Q1);
463;19700186336;Psychology of Violence;journal;21520828, 2152081X;1.244;Q1;30;65;122;2889;321;116;2.24;44.45;United States;American Psychological Association;2010-ongoing;"Applied Psychology (Q1); Health (social science) (Q1); Social Psychology (Q1)";
464;22614;Research in the Teaching of English;journal;0034527X;1.243;Q1;33;25;69;936;146;66;1.85;37.44;United States;National Council of Teachers of English;1996-2001, 2004-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
465;21530;Space and Polity;journal;14701235, 13562576;1.243;Q1;34;21;62;1429;158;59;1.92;68.05;United Kingdom;Carfax Publishing Ltd.;1997-ongoing;"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";
466;20894;Transportation Research Part D: Transport and Environment;journal;13619209;1.243;Q1;81;176;386;7866;1297;381;3.2;44.69;United Kingdom;Elsevier Ltd.;1996-ongoing;"Civil and Structural Engineering (Q1); Environmental Science (miscellaneous) (Q1); Transportation (Q1)";
467;29170;Critical Perspectives on Accounting;journal;10452354, 10959955;1.242;Q1;57;34;189;2709;355;176;1.91;79.68;United States;Elsevier Inc.;1990-ongoing;"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Sociology and Political Science (Q1)";
468;14122;Economic Development and Cultural Change;journal;00130079, 15392988;1.239;Q1;62;24;76;1246;125;75;1.27;51.92;United States;University of Chicago Press;1978-1979, 1982-ongoing;"Development (Q1); Economics and Econometrics (Q1)";
469;23638;Gender, Place, and Culture;journal;0966369X, 13600524;1.239;Q1;57;124;233;6319;400;228;1.78;50.96;United Kingdom;Carfax Publishing Ltd.;1994-ongoing;"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Demography (Q1); Gender Studies (Q1)";
470;23101;Language and Education;journal;9500782;1.238;Q1;38;33;98;1474;188;96;1.84;44.67;United Kingdom;Taylor & Francis;1987-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
471;13272;Environment and Planning A;journal;0308518X;1.237;Q1;112;128;579;6170;1137;522;1.63;48.2;United Kingdom;SAGE Publications Inc.;1973-ongoing;"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)";
472;21100215718;Weather, Climate, and Society;journal;19488335, 19488327;1.237;Q1;27;38;108;1864;284;98;3.18;49.05;United States;American Meteorological Society;2009-ongoing;"Social Sciences (miscellaneous) (Q1); Atmospheric Science (Q2); Global and Planetary Change (Q2)";
473;23611;Public Choice;journal;15737101, 00485829;1.233;Q1;69;64;308;3304;406;295;0.94;51.63;Netherlands;Kluwer Academic Publishers;1966-ongoing;"Economics and Econometrics (Q1); Sociology and Political Science (Q1)";
474;20896;Telematics and Informatics;journal;7365853;1.233;Q1;48;89;189;4741;726;182;4.34;53.27;Netherlands;Elsevier BV;1984-1985, 1987, 1989-1990, 1993-ongoing;"Communication (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Law (Q1)";
475;130158;British Journal of Politics and International Relations;journal;13691481;1.231;Q1;34;55;110;3548;254;108;2.25;64.51;United States;SAGE Publications;2005-ongoing;"Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1)";
476;24785;Alcohol;journal;7418329;1.229;Q1;74;79;247;3835;642;236;2.89;48.54;Netherlands;Elsevier BV;1984-ongoing;"Health (social science) (Q1); Medicine (miscellaneous) (Q1); Toxicology (Q1); Behavioral Neuroscience (Q2); Biochemistry (Q2); Neurology (Q2)";
477;29643;Urban Affairs Review;journal;10780874;1.229;Q1;63;28;103;1878;147;97;1.39;67.07;United States;SAGE Publications;1965-ongoing;"Sociology and Political Science (Q1); Urban Studies (Q1)";
478;24733;American Behavioral Scientist;journal;27642;1.228;Q1;93;99;312;4641;1118;280;1.99;46.88;United States;SAGE Publications;1957-ongoing;"Cultural Studies (Q1); Education (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";
479;4000148501;Curriculum Inquiry;journal;3626784;1.228;Q1;32;44;89;1758;136;74;1.39;39.95;United Kingdom;Taylor & Francis;1976-ongoing;Education (Q1);
480;130100;Journal of Educational Administration;journal;9578234;1.228;Q1;50;36;136;2409;215;136;1.46;66.92;United Kingdom;Emerald Group Publishing Ltd.;1963-ongoing;"Education (Q1); Public Administration (Q1)";
481;16544;Tourism Geographies;journal;14701340, 14616688;1.228;Q1;49;32;145;1938;409;135;2.66;60.56;United Kingdom;Routledge;1999-ongoing;"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)";
482;17389;Rural Sociology;journal;00360112, 15490831;1.225;Q1;58;23;64;1427;151;62;1.8;62.04;United States;Wiley-Blackwell;1978-ongoing;Sociology and Political Science (Q1);
483;12694;International Journal of Science Education;journal;09500693, 14645289;1.223;Q1;93;130;398;7206;674;389;1.45;55.43;United Kingdom;Taylor & Francis;1987-ongoing;Education (Q1);
484;14300;Harvard Journal of Law and Public Policy;journal;1934872;1.222;Q1;24;28;106;2635;99;106;1.03;94.11;United States;Harvard Society for Law and Public Policy, Inc.;1980, 1985, 1990, 1995-ongoing;"Law (Q1); Sociology and Political Science (Q1)";
485;13739;International Journal of Language and Communication Disorders;journal;13682822, 14606984;1.222;Q1;58;62;183;2449;454;176;2.6;39.5;United States;Wiley-Blackwell;1966-1995, 1998-ongoing;"Language and Linguistics (Q1); Linguistics and Language (Q1); Speech and Hearing (Q1)";
486;16448;Journal of Urban Health;journal;10993460, 14682869;1.221;Q1;80;87;283;3761;659;275;2.12;43.23;Germany;Springer Science and Business Media Deutschland GmbH;1988, 1998-ongoing;"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)";
487;13857;Housing, Theory and Society;journal;16512278, 14036096;1.22;Q1;36;24;81;1427;154;70;1.6;59.46;United Kingdom;Taylor & Francis;1996-ongoing;"Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";
488;21100386521;Language, Cognition and Neuroscience;journal;23273801, 23273798;1.22;Q1;70;107;267;6358;495;253;1.68;59.42;United States;Taylor and Francis;2013-ongoing;"Language and Linguistics (Q1); Linguistics and Language (Q1); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)";
489;16705;Journal of Emotional and Behavioral Disorders;journal;10634266;1.215;Q1;64;17;68;897;156;67;2.15;52.76;United States;SAGE Publications;1993-ongoing;"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Psychiatry and Mental Health (Q1)";
490;18916;Social Science Computer Review;journal;8944393;1.215;Q1;60;38;155;1792;467;154;2.37;47.16;United States;SAGE Publications;1983-ongoing;"Computer Science Applications (Q1); Law (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";
491;21100265617;Weather and Climate Extremes;journal;22120947;1.215;Q1;21;23;100;1098;304;91;3.13;47.74;Netherlands;Elsevier BV;2013-ongoing;"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Atmospheric Science (Q2)";
492;23241;International Journal of Game Theory;journal;14321270, 00207276;1.214;Q1;39;53;152;1088;135;150;0.79;20.53;Germany;Springer Verlag;1971, 1973-ongoing;"Economics and Econometrics (Q1); Mathematics (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";
493;17500155126;Attention, Perception & Psychophysics;journal;1943393X, 19433921;1.213;Q1;105;208;573;10298;1062;551;1.89;49.51;United States;Springer New York LLC;2009-ongoing;"Language and Linguistics (Q1); Linguistics and Language (Q1); Experimental and Cognitive Psychology (Q2); Sensory Systems (Q2)";
494;130146;Journal of Experimental Criminology;journal;15733750;1.213;Q1;41;29;85;1594;231;79;2.83;54.97;Germany;Springer Verlag;2005-ongoing;Law (Q1);
495;21100316002;Travel Behaviour and Society;journal;2214367X;1.213;Q1;13;25;31;1051;90;30;3;42.04;Netherlands;Elsevier BV;2014-ongoing;Transportation (Q1);
496;5600153974;Policing and Society;journal;10439463;1.208;Q1;21;55;99;3092;231;96;2.18;56.22;United Kingdom;Routledge;1990-1995, 2009-ongoing;"Law (Q1); Sociology and Political Science (Q1)";
